id,description
48442,Get Flat 50% Off on Indo-Asian Food Fest on Selected Restaurants (Using Mobile App only)
48443,Up To Rs.1500 Discount on Domestic flights
48444,The Grand Ethnic Sale - Flat 50% discount on Women's Apparels
48445,The Grand Ethnic Sale - 50% OFF on Women's Ethnic Fashion Apparels
48446,The Great Ethnic Sale - 50% Off on Selected Brands
48447,The Grand Ethnic Sale - Get Flat 50% off on Women's Apparel
48448,HTC 10 LIFESTYLE 32GB ROM AND 3G RAM Starts @ Rs.46990 only
48449,LOWEST PRICE CHALLENGE on Air Conditioners listed at landing page
48450,"8 Cars 8 Lucky Customers on Purchase of Fully Automatic Washing Machine, RO â€“UV Water Purifiers, Convection Microwave, Room Air Purifier products."
48451,5% Cash-Back on all products (On spending minimum Rs.20000. on Payment via SBI Credit/Debit Cards and TATA Cards only. Max. cashback of Rs.2500 will be offered)
48452,SKULLCANDY GRIND BLUETOOTH HEADPHONES (WHITE) just for Rs.5499
48453,SuperPro Laptops Starting at just Rs.51490
48454,High performance Laptops Starts for just Rs.30500
48455,Latest Laptops Starting @ Rs.13999
48456,Buy 1 Pizza  Get 1 Free on online ordering only
48457,"End Of Season Sale on Men's Apparels, Footwear And More"
48458,Get Up to 40% discount only on Mobile App
48459,Get Flat 10% Cash back on Breaskfast
48460,Get Flat 20% cash back on All Order
48461,Flat 10% cash back on Chai & Snacks
48462,Get 50% Cashback on Your 1st Order
48463,Up To 60% Discount + Extra 10% Discount on Women's Apparels
48464,Get Flat 20% OFF on order-value of Rs.3000 and above (Max. Rs.2000 discount will be applied)
48465,"Rs.300 Discount on shopping of Rs.1299 and above (Not on Diapers, Super Savers, Combos, Gift Certificate, Formula & Supplements, Bottle Cleaning & Sterilization, Bottles & Accessories & certain brands)"
48466,"Get 20% off + 20% cash back + Extra 5% cash back on Baby Gear & Nursery Range (Maximum Rs.2000 discount will be applied. Maximum cashback of Rs.300 will be offered. Not on Diapers, Combos, Bottles & Accessories, Formula & supplements and Few brands. Extra Cashback on Payment Via PayTM Wallet. Max. PayTM Cashback Is Rs.75)"
48467,The Rs.99 Store on Select products (Max. once per user)
48468,Intex 11000 mAh Power Bank just at Rs.899
48469,Strontium Nitro 16 GB MicroSDHC Memory Card at just Rs.259
48470,"Exciting Deals, Exchange Offer And More on Samrtphones"
48471,Up to Rs.5500 off on Swipe Elite Plus
48472,Get 20% off on Routers
48473,"Bedsheets,Curtains & More All products under Rs.549"
48474,Men's T-shirts And shirts Starts from just Rs.289
48475,HP 1 TB Wired External Hard Disk Drive just Rs.3999
48476,"Flat Rs.2500 Off on  LG, Vu, Micromax, Infocus Televisions"
48477,"Earrings, Necklaces, Bracelets And More All products under Rs.199"
48478,Sunglasses Offer at Rs.149 only
48479,"Get Flat 40% OFF on Fiction, Academic, Self-help And More Books"
48480,Enew Two Wheeler Cover just Rs.189
48481,intel Powered PC And Laptops Starting from Rs.20990 only
48482,Voltaa Selfie Stick at Rs.249 only
48483,Get Flat 15% cashback on Payment via Paytm Wallet
48484,Avail Flat 15% OFF on all products
48485,Get Up To 50% discount on Rakhi Gifts
48486,Qatar Airways Offer - Get Up to 8% off on Fares to Europe (Travelling Between 25th July '16 to 31st Mar '17)
48487,Happy Flying Sale - Get Flat Rs.666 off on Economy Class Travel
