"CustomerID","OfferID"
"4019","42593"
"4019","32831"
"4019","32831"
"4019","32833"
"4019","32833"
"4019","42593"
"4029","17379"
"4029","17379"
"4029","26000"
"4029","26000"
"4025","42593"
"4010","20089"
"4010","20089"
"4010","42593"
"4010","30617"
"4010","26626"
"4010","26465"
"4010","26146"
"4010","42593"
"4010","26298"
"4010","22674"
"4010","26298"
"4010","26146"
"4010","26465"
"4010","30617"
"4010","26626"
"4010","42593"
"4010","42593"
"4010","22674"
"3995","26844"
"3995","42593"
"3995","26844"
"4011","45961"
"4011","45961"
"4011","45953"
"4011","45953"
"4011","45961"
"4011","45961"
"4011","40322"
"4011","40322"
"4011","40322"
"3995","42593"
"4012","30617"
"4012","29442"
"4012","28644"
"4012","28644"
"4012","28644"
"4012","28644"
"4012","42593"
"4012","29442"
"4014","45949"
"4014","40322"
"4014","45227"
"4014","45227"
"4014","45229"
"4014","40322"
"4014","40322"
"4014","40322"
"4014","40322"
"4014","45955"
"4014","46258"
"4014","46256"
"4014","45953"
"4014","46260"
"4014","46260"
"4014","45952"
"4014","46260"
"4014","45961"
"4014","46260"
"4014","45957"
"4014","46259"
"4014","46257"
"4014","45951"
"4014","45958"
"4014","45957"
"4014","48420"
"4014","47565"
"4014","40322"
"4014","45229"
"4014","38665"
"4014","46260"
"4014","46261"
"4014","46260"
"4014","47303"
"4014","46256"
"4014","45953"
"4014","46258"
"4014","45951"
"4014","45949"
"4014","48886"
"4014","45955"
"4014","45227"
"4014","45953"
"4014","46257"
"4014","45950"
"4014","45961"
"4014","46882"
"4014","45953"
"4014","45953"
"4014","45952"
"4014","46259"
"4014","46570"
"4014","40322"
"4014","45229"
"4014","40322"
"4014","40322"
"3996","30364"
"3996","30364"
"3996","45970"
"4000","20616"
"4000","42593"
"4000","20459"
"4000","20459"
"4000","20459"
"4000","20616"
"4000","31642"
"4000","31642"
"4000","31642"
"4000","26724"
"4000","20242"
"4000","12599"
"4000","31642"
"4000","31642"
"4000","26724"
"4000","20242"
"4000","31642"
"4000","12599"
"4001","47981"
"4001","47981"
"4001","47981"
"4001","43887"
"4001","43887"
"4001","43887"
"4001","43887"
"4001","43887"
"4002","29067"
"4005","47873"
"4005","47873"
"4005","47873"
"4006","26465"
"4006","26298"
"4006","26146"
"4006","26626"
"4007","45958"
"4007","45958"
"3995","26849"
"3995","24376"
"3995","26846"
"3995","24376"
"3995","26846"
"4008","45917"
"4008","45918"
"4008","46250"
"4008","46250"
"4008","45917"
"4008","45953"
"4008","45953"
"4008","45918"
"4008","45951"
"4008","45951"
"2251","39315"
"2251","26465"
"2251","26146"
"2251","30944"
"2251","30944"
"2251","26298"
"2251","26626"
"3989","46540"
"3989","46541"
"3989","46536"
"3989","46540"
"3989","46541"
"3989","46541"
"3989","46541"
"3963","26000"
"3963","42593"
"3963","29442"
"3963","29442"
"3963","30547"
"3995","26198"
"3995","26198"
"3995","28094"
"3995","26000"
"3995","28094"
"3995","26000"
"3995","26849"
"3995","26183"
"3995","20459"
"3995","20459"
"3995","26183"
"3995","20459"
"3995","20459"
"3985","47113"
"3996","45970"
"3996","42593"
"3996","26465"
"3996","26626"
"3996","26146"
"3996","26298"
"3996","30617"
"3996","26465"
"3996","26626"
"3996","26298"
"3996","26146"
"3998","46260"
"3998","46260"
"3998","46257"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46257"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46257"
"3998","46257"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3998","46260"
"3987","46253"
"3987","46253"
"3987","46253"
"3987","48169"
"3987","48169"
"2251","29065"
"2251","29065"
"2251","29065"
"2251","29065"
"2251","29065"
"2251","29065"
"3987","33292"
"3987","20459"
"3987","33292"
"3987","20459"
"3987","33292"
"3988","42593"
"3988","30364"
"3988","30364"
"3989","47367"
"3989","47274"
"3989","47367"
"3989","45874"
"3989","45874"
"3989","45909"
"3989","45914"
"3989","47274"
"3989","41951"
"3989","41951"
"3989","45909"
"3989","45914"
"3989","45914"
"3989","45914"
"3989","46536"
"3963","26000"
"3963","47556"
"3963","47556"
"3991","26318"
"3991","26318"
"3991","26280"
"3991","26280"
"3985","48203"
"3985","48203"
"3985","45931"
"3985","45932"
"3985","45932"
"3985","48203"
"3985","48203"
"3985","47113"
"3985","45917"
"3985","45917"
"3985","39319"
"3944","45932"
"3944","45932"
"3944","45932"
"3976","46260"
"3976","46260"
"3981","37818"
"3981","44371"
"3981","37818"
"3981","11927"
"3981","11927"
"3981","11927"
"3981","37819"
"3981","11927"
"3981","37818"
"3981","37819"
"3981","11927"
"3981","37818"
"3981","44371"
"3981","12496"
"3981","12496"
"3981","12575"
"3981","12575"
"3981","12671"
"3981","12575"
"3981","38689"
"3981","12575"
"3981","32528"
"3981","32528"
"3981","32528"
"3981","12678"
"3981","12678"
"3981","38689"
"3981","38689"
"3981","47886"
"3981","48540"
"3981","47886"
"3981","48540"
"3981","48540"
"3981","45337"
"3984","47873"
"3985","40507"
"3985","39553"
"3985","39553"
"3985","40507"
"3985","48203"
"3985","48203"
"3985","45958"
"3985","45958"
"3985","45917"
"3985","45961"
"3985","45961"
"3985","45917"
"3985","47113"
